kd_kementerian;kemeterian;kd_program;program;kd_kegiatan;Kegiatan;kd_output;output;kd_nawacita;nawacita;Tematik;Janpres;kd_PN;PN;kd_PP;PP;kd_KP;KP;kd_PPN;PPN;kd_prov;provinsi;kd_kota;Kota; Anggaran 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;06;Provinsi Aceh;0602;Kab. Pidie; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;07;Provinsi Sumatera Utara;0761;Kota Gunung Sitoli; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;07;Provinsi Sumatera Utara;0706;Kab. Labuhanbatu; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;07;Provinsi Sumatera Utara;0724;Kab. Labuhan Batu Selatan; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;07;Provinsi Sumatera Utara;0725;Kab. Labuhan Batu Utara; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;07;Provinsi Sumatera Utara;0711;Kab. Nias; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;07;Provinsi Sumatera Utara;0727;Kab. Nias Barat; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;07;Provinsi Sumatera Utara;0722;Kab. Padang Lawas; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;08;Provinsi Sumatera Barat;0805;Kab. Padang Pariaman; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;08;Provinsi Sumatera Barat;0812;Kab. Pasaman Barat; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;09;Provinsi Riau;0904;Kab. Indragiri Hulu; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;09;Provinsi Riau;0901;Kab. Kampar; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;26;Provinsi Bengkulu;2609;Kab. Bengkulu Tengah; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;26;Provinsi Bengkulu;2603;Kab. Rejang Lebong; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;26;Provinsi Bengkulu;2604;Kab. Seluma; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;11;Provinsi Sumatera Selatan;1107;Kab. Musi Rawas; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;12;Provinsi Lampung;1207;Kab. Lampung Timur; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;12;Provinsi Lampung;1203;Kab. Lampung Utara; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;12;Provinsi Lampung;1211;Kab. Mesuji; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;12;Provinsi Lampung;1210;Kab. Pringsewu; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;12;Provinsi Lampung;1206;Kab. Tanggamus; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;12;Provinsi Lampung;1205;Kab. Tulang Bawang; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;12;Provinsi Lampung;1208;Kab. Way Kanan; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;02;Provinsi Jawa Barat;0209;Kab. Karawang; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;02;Provinsi Jawa Barat;0219;Kab. Indramayu; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;02;Provinsi Jawa Barat;0260;Kota Tasikmalaya; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;02;Provinsi Jawa Barat;0218;Kab. Kuningan; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;02;Provinsi Jawa Barat;0220;Kab. Majalengka; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;02;Provinsi Jawa Barat;0210;Kab. Purwakarta; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;23;Provinsi Nusa Tenggara Barat;2308;Kab. Lombok Utara; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;24;Provinsi Nusa Tenggara Timur;2451;Kota Kupang; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;24;Provinsi Nusa Tenggara Timur;2422;Kab. Malaka; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;24;Provinsi Nusa Tenggara Timur;2411;Kab. Sumba Timur; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;14;Provinsi Kalimantan Tengah;1401;Kab. Kapuas; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;16;Provinsi Kalimantan Timur;1609;Kab. Penajam Paser Utara; 92.400 
